Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.002592365,5.478921701,0,5.450954322,0,0.140967678,0.140967678,0.140967678,0.154019476,0.033179897,0.092942925,0.406034923,0.158803465
 01/01  02:00:00,0.834082567,6.257864174,0,6.232113585,0,0.160117489,0.160117489,0.160117489,0.089844728,0.019354937,0.07618578,0.37385121,0.098084423
 01/01  03:00:00,0.778943116,6.724641045,0,6.699189014,0,0.171014419,0.171014419,0.171014419,0.064174796,0.013824955,0.062326493,0.369516703,0.081441749
 01/01  04:00:00,0.780161725,7.148752957,0,7.123659195,0,0.181118965,0.181118965,0.181118965,0.064174796,0.013824955,0.053976431,0.364315295,0.086107284
 01/01  05:00:00,0.831581843,7.33758342,0,7.313437579,0,0.185424788,0.185424788,0.185424788,0.064174796,0.013824955,0.065822864,0.350553236,0.135137204
 01/01  06:00:00,1.095507108,7.267457212,0,7.240512393,0,0.182960843,0.182960843,0.182960843,0.064174796,0.013824955,0.080078181,0.391189237,0.346635096
 01/01  07:00:00,1.72692503,7.745082906,0,7.713950818,0,0.195132062,0.195132062,0.195132062,0.147602041,0.031797395,0.140383543,0.451980695,0.743385294
 01/01  08:00:00,2.142202247,7.110046326,0,7.07696615,0,0.178866475,0.178866475,0.178866475,0.301621517,0.064977292,0.228567291,0.480263352,0.85626232
 01/01  09:00:00,2.079106902,6.805869247,0,6.777901869,0,0.170994645,0.170994645,0.170994645,0.288786568,0.062212303,0.30112795,0.406034923,0.833306513
 01/01  10:00:00,1.825787626,6.420228936,0,6.396426436,0,0.161682401,0.161682401,0.161682401,0.147602041,0.031797395,0.375064554,0.345568553,0.747428682
 01/01  11:00:00,1.735344007,7.004086551,0,6.979724256,0,0.178053391,0.178053391,0.178053391,0.121932142,0.026267417,0.395792849,0.353695754,0.642958454
 01/01  12:00:00,1.623189018,5.630869948,0,5.606500188,0,0.142666682,0.142666682,0.142666682,0.121932142,0.026267417,0.413608485,0.353804116,0.548266176
 01/01  13:00:00,1.514365095,4.955483409,0,4.931524166,0,0.126270712,0.126270712,0.126270712,0.121932142,0.026267417,0.39965648,0.347844169,0.475750174
 01/01  14:00:00,1.431209573,4.456707325,0,4.431919585,0,0.114129775,0.114129775,0.114129775,0.121932142,0.026267417,0.361435816,0.359872426,0.430927998
 01/01  15:00:00,1.381272904,4.213603327,0,4.18741983,0,0.108209003,0.108209003,0.108209003,0.128349577,0.027649903,0.331767743,0.380136245,0.388516434
 01/01  16:00:00,1.451290255,4.085161101,0,4.057522136,0,0.105129271,0.105129271,0.105129271,0.160436991,0.034562383,0.339922589,0.401266965,0.393328056
 01/01  17:00:00,1.754926549,3.82785928,0,3.795167228,0,0.09850159,0.09850159,0.09850159,0.269534103,0.058064812,0.389638663,0.474628493,0.447914888
 01/01  18:00:00,2.364629831,4.865491741,0,4.825776123,0,0.125887802,0.125887802,0.125887802,0.500563357,0.107834641,0.480421868,0.576597765,0.556680399
 01/01  19:00:00,2.76975579,3.750703427,0,3.707584253,0,0.095581783,0.095581783,0.095581783,0.744427561,0.160369476,0.43259402,0.626011142,0.664127808
 01/01  20:00:00,2.74884783,3.549410064,0,3.504902597,0,0.090140058,0.090140058,0.090140058,0.789349925,0.170046944,0.349590651,0.646166599,0.686909653
